Cap,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
28,00,0,1,shoot,0.00567,0.7,SKT_01,Cd,0.007017606,0.007,0.002572239,3.888494331,0.022047763
29,00,0,1,shoot,0.0034,0.7,SKT_02,Cd,0.006955939,0.007,0.002510572,6.329173109,0.021519189
30,00,0,1,root,4.40E-04,0.9,SKT_03,Cd,0.006087878,0.006,0.001642511,24.8865303,0.010950073
31,00,0,2,shoot,0.02381,0.7,SKT_04,Cd,0.006578702,0.007,0.002133335,0.76798524,0.018285729
32,00,0,2,shoot,0.00592,0.7,SKT_05,Cd,8.61E-04,0.001,0,0,0
33,00,0,2,root,6.60E-04,0.9,SKT_06,Cd,0,0,0,0,0
34,00,0,3,shoot,0.04599,0.7,SKT_07,Cd,0.006337639,0.006,0.001892272,0.352673935,0.016219474
35,00,0,3,shoot,0.01297,0.7,SKT_08,Cd,0.005308046,0.005,8.63E-04,0.570114991,0.007394391
36,00,0,3,root,0.00181,0.7,SKT_09,Cd,0.006270254,0.006,0.001824887,8.641927388,0.015641889
37,00,1,1,shoot,0.0067,0.7,SKT_10,Cd,0.006218319,0.006,0.001772952,2.26816887,0.015196731
38,00,1,1,shoot,0.00494,0.7,SKT_11,Cd,0.004898394,0.005,4.53E-04,0.786050318,0.003883089
39,00,1,1,root,4.50E-04,0.9,SKT_12,Cd,0.006316509,0.006,0.001871142,27.72062222,0.01247428
40,00,1,2,shoot,0.02266,0.7,SKT_13,Cd,0.005711163,0.006,0.001265796,0.478803177,0.01084968
41,00,1,2,shoot,0.0201,0.7,SKT_14,Cd,0.005744536,0.006,0.001299169,0.554016631,0.011135734
42,00,1,2,root,0.00206,0.7,SKT_15,Cd,0.00483294,0.005,3.88E-04,1.612647712,0.003322054
43,00,1,3,shoot,0.05449,0.7,SKT_16,Cd,0.004222068,0.004,0,0,0
44,00,1,3,shoot,0.03535,0.7,SKT_17,Cd,0.006242899,0.006,0.001797532,0.435853385,0.015407417
45,00,1,3,root,0.00493,0.7,SKT_18,Cd,0,0,0,0,0
46,00,2,1,shoot,0.00734,0.7,SKT_19,Cd,0.006680086,0.007,0.002234719,2.609636824,0.019154734
47,00,2,1,shoot,0.00558,0.7,SKT_20,Cd,NA,NA,NA,NA,NA
48,00,2,1,root,6.90E-04,0.9,SKT_21,Cd,0.005609245,0.006,0.001163878,11.24519807,0.007759187
49,00,2,2,shoot,0.03089,0.7,SKT_22,Cd,0.005740457,0.006,0.00129509,0.359364566,0.011100771
50,00,2,2,shoot,0.0157,0.7,SKT_23,Cd,0.004626649,0.005,1.81E-04,0.098971065,0.001553846
51,00,2,2,root,0.00293,0.7,SKT_24,Cd,0.005108282,0.005,6.63E-04,1.939293028,0.005682129
52,00,2,3,shoot,0.05331,0.7,SKT_25,Cd,0.005070288,0.005,6.25E-04,0.100477691,0.005356466
53,00,2,3,shoot,0.01395,0.7,SKT_26,Cd,0.004426483,0.004,0,0,0
54,00,2,3,root,0.0067,0.7,SKT_27,Cd,0.005589393,0.006,0.001144026,1.463572708,0.009805937
82,11,0,1,shoot,0.02167,0.7,SKT_28,Cd,0.004871271,0.005,4.26E-04,0.168463577,0.003650606
83,11,0,1,shoot,0.00766,0.7,SKT_29,Cd,0.005593689,0.006,0.001148322,1.284955614,0.00984276
84,11,0,1,root,0.00413,0.7,SKT_30,Cd,0.01153642,0.012,0.007091053,14.71681702,0.060780454
85,11,0,2,shoot,0.08326,0.7,SKT_31,Cd,0.005529956,0.006,0.001084589,0.111655983,0.009296477
86,11,0,2,shoot,0.02175,0.7,SKT_32,Cd,0.00505236,0.005,6.07E-04,0.239209064,0.005202797
87,11,0,2,root,0.00262,0.7,SKT_33,Cd,0.009072841,0.009,0.004627474,15.13895529,0.039664063
88,11,0,3,shoot,0.01696,0.7,SKT_34,Cd,0.005463773,0.005,0.001018406,0.514693059,0.008729194
89,11,0,3,shoot,0.02156,0.7,SKT_35,Cd,0.004604436,0.005,1.59E-04,0.06323973,0.001363449
90,11,0,3,root,0.00338,0.7,SKT_36,Cd,0.013420966,0.013,0.008975599,22.76145139,0.076933706
91,11,1,1,shoot,0.02091,0.7,SKT_37,Cd,0.009507669,0.01,0.005062302,2.075139168,0.04339116
92,11,1,1,shoot,0.00779,0.7,SKT_38,Cd,0.007524127,0.008,0.00307876,3.387595819,0.026389371
93,11,1,1,root,0.0019,0.7,SKT_39,Cd,0.01033172,0.01,0.005886353,26.55497594,0.050454454
94,11,1,2,shoot,0.08039,0.7,SKT_40,Cd,0.007875554,0.008,0.003430187,0.365737068,0.029401603
95,11,1,2,shoot,0.02439,0.7,SKT_41,Cd,0.006790051,0.007,0.002344684,0.823997189,0.020097291
96,11,1,2,root,8.60E-04,0.9,SKT_42,Cd,0.022164368,0.022,0.017719001,137.3565969,0.118126673
97,11,1,3,shoot,0.02143,0.7,SKT_43,Cd,0.00550368,0.006,0.001058313,0.42329698,0.009071254
98,11,1,3,shoot,0.01283,0.7,SKT_44,Cd,0.004174916,0.004,0,0,0
99,11,1,3,root,0.00403,0.7,SKT_45,Cd,0.016842301,0.017,0.012396934,26.36710528,0.106259434
100,11,2,1,shoot,0.01067,0.7,SKT_46,Cd,0.01762088,0.018,0.013175513,10.58415825,0.112932969
101,11,2,1,shoot,0.0064,0.7,SKT_47,Cd,0.014558885,0.015,0.010113518,13.54489018,0.086687297
102,11,2,1,root,0.00558,0.7,SKT_48,Cd,0.072988592,0.073,0.068543225,105.2891321,0.587513357
103,11,2,2,shoot,0.08275,0.7,SKT_49,Cd,0.007321494,0.007,0.002876127,0.297915615,0.024652517
104,11,2,2,shoot,0.02628,0.7,SKT_50,Cd,0.006536758,0.007,0.002091391,0.682123614,0.017926209
105,11,2,2,root,0.01388,0.7,SKT_51,Cd,0.703041569,0.703,0.698596202,431.4097583,5.987967446
106,11,2,3,shoot,0.02069,0.7,SKT_52,Cd,0.001247143,0.001,0,0,0
107,11,2,3,shoot,0.01375,0.7,SKT_53,Cd,0.006803966,0.007,0.002358599,1.470295481,0.020216563
108,11,2,3,root,0.00681,0.7,SKT_54,Cd,0.023100468,0.023,0.018655101,23.48030334,0.159900866
28,00,0,1,shoot,0.00567,0.7,SKT_01,Na,0.232370428,0.232,0,0,0
29,00,0,1,shoot,0.0034,0.7,SKT_02,Na,0.227859393,0.228,0,0,0
30,00,0,1,root,4.40E-04,0.9,SKT_03,Na,0.279103879,0.279,0,0,0
31,00,0,2,shoot,0.02381,0.7,SKT_04,Na,1.968999667,1.969,1.606029293,578.1589823,13.76596537
32,00,0,2,shoot,0.00592,0.7,SKT_05,Na,0.430906712,0.431,0.067936338,98.36342375,0.582311469
33,00,0,2,root,6.60E-04,0.9,SKT_06,Na,0.464336331,0.464,0.101365957,1023.898556,0.675773047
34,00,0,3,shoot,0.04599,0.7,SKT_07,Na,2.616565822,2.617,2.253595448,420.0159254,19.31653241
35,00,0,3,shoot,0.01297,0.7,SKT_08,Na,0.626883913,0.627,0.263913539,174.4114147,2.262116049
36,00,0,3,root,0.00181,0.7,SKT_09,Na,0.718587064,0.719,0.35561669,1684.056938,3.048143057
37,00,1,1,shoot,0.0067,0.7,SKT_10,Na,0.227759537,0.228,0,0,0
38,00,1,1,shoot,0.00494,0.7,SKT_11,Na,0.251450512,0.251,0,0,0
39,00,1,1,root,4.50E-04,0.9,SKT_12,Na,0.487308012,0.487,0.124337638,1842.039081,0.828917587
40,00,1,2,shoot,0.02266,0.7,SKT_13,Na,1.001714336,1.002,0.638743962,241.612897,5.474948246
41,00,1,2,shoot,0.0201,0.7,SKT_14,Na,0.973078148,0.973,0.610107774,260.1738908,5.229495206
42,00,1,2,root,0.00206,0.7,SKT_15,Na,0.909096004,0.909,0.54612563,2272.367393,4.681076829
43,00,1,3,shoot,0.05449,0.7,SKT_16,Na,3.834934292,3.835,3.471963918,546.149582,29.75969073
44,00,1,3,shoot,0.03535,0.7,SKT_17,Na,1.947944119,1.948,1.584973745,384.3136985,13.58548924
45,00,1,3,root,0.00493,0.7,SKT_18,Na,2.32391997,2.324,1.960949596,3409.358904,16.80813939
46,00,2,1,shoot,0.00734,0.7,SKT_19,Na,0.312555098,0.313,0,0,0
47,00,2,1,shoot,0.00558,0.7,SKT_20,Na,NA,NA,NA,NA,NA
48,00,2,1,root,6.90E-04,0.9,SKT_21,Na,0.341303755,0.341,0,0,0
49,00,2,2,shoot,0.03089,0.7,SKT_22,Na,1.011704234,1.012,0.64873386,180.0121704,5.560575943
50,00,2,2,shoot,0.0157,0.7,SKT_23,Na,0.801321637,0.801,0.438351263,239.318251,3.75729654
51,00,2,2,root,0.00293,0.7,SKT_24,Na,0.747384013,0.747,0.384413639,1124.564522,3.294974049
52,00,2,3,shoot,0.05331,0.7,SKT_25,Na,4.154489362,4.154,3.791518988,609.6179738,32.49873418
53,00,2,3,shoot,0.01395,0.7,SKT_26,Na,0.730368163,0.73,0.367397789,225.7436492,3.149123906
54,00,2,3,root,0.0067,0.7,SKT_27,Na,1.444870853,1.445,1.081900479,1384.094429,9.273432677
82,11,0,1,shoot,0.02167,0.7,SKT_28,Na,1.61303941,1.613,1.250069036,494.4567352,10.71487745
83,11,0,1,shoot,0.00766,0.7,SKT_29,Na,0.495536287,0.496,0.132565913,148.3393282,1.136279254
84,11,0,1,root,0.00413,0.7,SKT_30,Na,2.274776827,2.275,1.911806453,3967.775413,16.38691245
85,11,0,2,shoot,0.08326,0.7,SKT_31,Na,5.228278792,5.228,4.865308418,500.8724908,41.70264358
86,11,0,2,shoot,0.02175,0.7,SKT_32,Na,1.158044737,1.158,0.795074363,313.3297982,6.814923111
87,11,0,2,root,0.00262,0.7,SKT_33,Na,1.421345259,1.421,1.058374885,3462.513255,9.071784729
88,11,0,3,shoot,0.01696,0.7,SKT_34,Na,1.163728551,1.164,0.800758177,404.6958442,6.863641517
89,11,0,3,shoot,0.02156,0.7,SKT_35,Na,0.615133044,0.615,0.25216267,100.2502001,2.161394314
90,11,0,3,root,0.00338,0.7,SKT_36,Na,1.787859262,1.788,1.424888888,3613.412227,12.21333333
91,11,1,1,shoot,0.02091,0.7,SKT_37,Na,25.20815017,25.21,24.8451798,10184.53773,212.958684
92,11,1,1,shoot,0.00779,0.7,SKT_38,Na,9.230455333,9.23,8.867484959,9756.997938,76.00701393
93,11,1,1,root,0.0019,0.7,SKT_39,Na,1.336243817,1.336,0.973273443,4390.707262,8.342343797
94,11,1,2,shoot,0.08039,0.7,SKT_40,Na,6.134839295,6.135,5.771868921,615.4143821,49.47316218
95,11,1,2,shoot,0.02439,0.7,SKT_41,Na,1.025494783,1.025,0.662524409,232.8323349,5.678780649
96,11,1,2,root,8.60E-04,0.9,SKT_42,Na,1.165900764,1.166,0.80293039,6224.266589,5.352869267
97,11,1,3,shoot,0.02143,0.7,SKT_43,Na,1.279403837,1.279,0.916433463,366.5489486,7.855143969
98,11,1,3,shoot,0.01283,0.7,SKT_44,Na,0.458204772,0.458,0.095234398,63.62391582,0.81629484
99,11,1,3,root,0.00403,0.7,SKT_45,Na,2.577744981,2.578,2.214774607,4710.615967,18.98378235
100,11,2,1,shoot,0.01067,0.7,SKT_46,Na,12.05880905,12.06,11.69583868,9395.505698,100.2500458
101,11,2,1,shoot,0.0064,0.7,SKT_47,Na,22.87231723,22.87,22.50934686,30146.44668,192.9372588
102,11,2,1,root,0.00558,0.7,SKT_48,Na,3.930866239,3.931,3.567895865,5480.63881,30.58196456
103,11,2,2,shoot,0.08275,0.7,SKT_49,Na,7.528781824,7.529,7.16581145,742.2506465,61.421241
104,11,2,2,shoot,0.02628,0.7,SKT_50,Na,1.332935159,1.333,0.969964785,316.3616389,8.313983871
105,11,2,2,root,0.01388,0.7,SKT_51,Na,13.37172193,13.37,13.00875156,8033.399479,111.5035848
106,11,2,3,shoot,0.02069,0.7,SKT_52,Na,1.185362028,1.185,0.822391654,340.6994355,7.04907132
107,11,2,3,shoot,0.01375,0.7,SKT_53,Na,0.637177394,0.637,0.27420702,170.9342462,2.350345886
108,11,2,3,root,0.00681,0.7,SKT_54,Na,4.295799128,4.296,3.932828754,4950.067658,33.70996075
28,00,0,1,shoot,0.00567,0.7,SKT_01,K,0.533033335,0.533,0.48556188,734.0315646,4.161958971
29,00,0,1,shoot,0.0034,0.7,SKT_02,K,1.694468047,1.694,1.646996592,4152.092249,14.11711365
30,00,0,1,root,4.40E-04,0.9,SKT_03,K,0.216571191,0.217,0.169099736,2562.117212,1.127331573
31,00,0,2,shoot,0.02381,0.7,SKT_04,K,44.14494263,44.14,44.09747118,15874.77213,377.9783244
32,00,0,2,shoot,0.00592,0.7,SKT_05,K,12.04193466,12.04,11.99446321,17366.50078,102.8096846
33,00,0,2,root,6.60E-04,0.9,SKT_06,K,0.600823751,0.601,0.553352296,5589.417131,3.689015307
34,00,0,3,shoot,0.04599,0.7,SKT_07,K,116.2805266,116.3,116.2330551,21663.04261,996.2833298
35,00,0,3,shoot,0.01297,0.7,SKT_08,K,27.0628358,27.06,27.01536435,17853.52859,231.5602658
36,00,0,3,root,0.00181,0.7,SKT_09,K,1.804747111,1.805,1.757275656,8321.747384,15.06236277
37,00,1,1,shoot,0.0067,0.7,SKT_10,K,0.617271972,0.617,0.569800517,728.9558853,4.884004431
38,00,1,1,shoot,0.00494,0.7,SKT_11,K,2.238854865,2.239,2.19138341,3802.284691,18.78328637
39,00,1,1,root,4.50E-04,0.9,SKT_12,K,0.90575131,0.906,0.858279855,12715.25711,5.7218657
40,00,1,2,shoot,0.02266,0.7,SKT_13,K,17.60369417,17.6,17.55622272,6640.860944,150.481909
41,00,1,2,shoot,0.0201,0.7,SKT_14,K,39.45252466,39.45,39.40505321,16803.86064,337.7575989
42,00,1,2,root,0.00206,0.7,SKT_15,K,2.332282559,2.332,2.284811104,9506.842319,19.58409518
43,00,1,3,shoot,0.05449,0.7,SKT_16,K,74.14966053,74.15,74.10218908,11656.48047,635.1616206
44,00,1,3,shoot,0.03535,0.7,SKT_17,K,79.40295219,79.4,79.35548074,19241.57949,680.1898349
45,00,1,3,root,0.00493,0.7,SKT_18,K,4.352293672,4.352,4.304822217,7484.47792,36.89847615
46,00,2,1,shoot,0.00734,0.7,SKT_19,K,6.859314566,6.859,6.811843111,7954.663033,58.38722667
47,00,2,1,shoot,0.00558,0.7,SKT_20,K,NA,NA,NA,NA,NA
48,00,2,1,root,6.90E-04,0.9,SKT_21,K,0.299684729,0.3,0.252213274,2436.843227,1.681421827
49,00,2,2,shoot,0.03089,0.7,SKT_22,K,30.98942627,30.99,30.94195482,8585.845114,265.2167556
50,00,2,2,shoot,0.0157,0.7,SKT_23,K,30.6821845,30.68,30.63471305,16725.04807,262.5832547
51,00,2,2,root,0.00293,0.7,SKT_24,K,2.976986536,2.977,2.929515081,8570.009988,25.11012927
52,00,2,3,shoot,0.05331,0.7,SKT_25,K,112.5078324,112.5,112.4603609,18081.89741,963.945951
53,00,2,3,shoot,0.01395,0.7,SKT_26,K,30.61299849,30.61,30.56552704,18780.66177,261.9902317
54,00,2,3,root,0.0067,0.7,SKT_27,K,3.060386312,3.06,3.012914857,3854.475297,25.82498449
82,11,0,1,shoot,0.02167,0.7,SKT_28,K,61.3587165,61.36,61.31124505,24251.26708,525.5249575
83,11,0,1,shoot,0.00766,0.7,SKT_29,K,19.97947634,19.98,19.93200489,22303.62352,170.8457562
84,11,0,1,root,0.00413,0.7,SKT_30,K,2.045874858,2.046,1.998403403,4147.49928,17.12917203
85,11,0,2,shoot,0.08326,0.7,SKT_31,K,29.91204354,29.91,29.86457209,3074.490109,255.9820464
86,11,0,2,shoot,0.02175,0.7,SKT_32,K,40.12553205,40.13,40.0780606,15794.30959,343.5262337
87,11,0,2,root,0.00262,0.7,SKT_33,K,0.363329625,0.363,0.31585817,1033.341887,2.707355743
88,11,0,3,shoot,0.01696,0.7,SKT_34,K,54.45747417,54.46,54.41000272,27498.31674,466.3714518
89,11,0,3,shoot,0.02156,0.7,SKT_35,K,39.60379047,39.6,39.55631902,15726.07435,339.054163
90,11,0,3,root,0.00338,0.7,SKT_36,K,0.660730373,0.661,0.613258918,1555.178997,5.256505011
91,11,1,1,shoot,0.02091,0.7,SKT_37,K,42.95484613,42.95,42.90737468,17588.59384,367.7774972
92,11,1,1,shoot,0.00779,0.7,SKT_38,K,18.11536522,18.12,18.06789377,19880.3159,154.8676608
93,11,1,1,root,0.0019,0.7,SKT_39,K,0.54754688,0.548,0.500075425,2255.979361,4.286360786
94,11,1,2,shoot,0.08039,0.7,SKT_40,K,77.20033298,77.2,77.15286153,8226.27493,661.3102416
95,11,1,2,shoot,0.02439,0.7,SKT_41,K,36.31522871,36.32,36.26775726,12745.65358,310.8664908
96,11,1,2,root,8.60E-04,0.9,SKT_42,K,0.273986214,0.274,0.226514759,1755.928364,1.510098393
97,11,1,3,shoot,0.02143,0.7,SKT_43,K,59.55135398,59.55,59.50388253,23799.96635,510.0332788
98,11,1,3,shoot,0.01283,0.7,SKT_44,K,21.76060446,21.76,21.71313301,14506.04588,186.1125686
99,11,1,3,root,0.00403,0.7,SKT_45,K,0.393209845,0.393,0.34573839,735.3528323,2.963471914
100,11,2,1,shoot,0.01067,0.7,SKT_46,K,42.48089737,42.48,42.43342592,34087.6363,363.7150793
101,11,2,1,shoot,0.0064,0.7,SKT_47,K,20.91934849,20.92,20.87187704,27953.40674,178.9018032
102,11,2,1,root,0.00558,0.7,SKT_48,K,0.840810104,0.841,0.793338649,1218.646158,6.800045563
103,11,2,2,shoot,0.08275,0.7,SKT_49,K,87.74578687,87.75,87.69831542,9083.986059,751.6998464
104,11,2,2,shoot,0.02628,0.7,SKT_50,K,40.8320166,40.83,40.78454515,13302.19998,349.5818155
105,11,2,2,root,0.01388,0.7,SKT_51,K,2.100492145,2.1,2.05302069,1267.818458,17.5973202
106,11,2,3,shoot,0.02069,0.7,SKT_52,K,52.50185063,52.5,52.45437918,21730.73776,449.6089644
107,11,2,3,shoot,0.01375,0.7,SKT_53,K,24.50101506,24.5,24.45354361,15243.76744,209.6018023
108,11,2,3,root,0.00681,0.7,SKT_54,K,0.542964982,0.543,0.495493527,623.6545337,4.247087374
28,00,0,1,shoot,0.00567,0.7,SKT_01,Fe,0.054628782,0.055,0.033039659,49.94657445,0.283197077
29,00,0,1,shoot,0.0034,0.7,SKT_02,Fe,0.065591387,0.066,0.044002264,110.9300773,0.377162263
30,00,0,1,root,4.40E-04,0.9,SKT_03,Fe,0.148504697,0.149,0.126915574,1922.963242,0.846103827
31,00,0,2,shoot,0.02381,0.7,SKT_04,Fe,0.067134661,0.067,0.045545538,16.39606576,0.390390326
32,00,0,2,shoot,0.00592,0.7,SKT_05,Fe,0.063116395,0.063,0.041527272,60.12635907,0.355948046
33,00,0,2,root,6.60E-04,0.9,SKT_06,Fe,0.657769733,0.658,0.63618061,6426.066768,4.241204067
34,00,0,3,shoot,0.04599,0.7,SKT_07,Fe,0.146591075,0.147,0.125001952,23.29735383,1.071445303
35,00,0,3,shoot,0.01297,0.7,SKT_08,Fe,0.059422237,0.059,0.037833114,25.00260866,0.324283834
36,00,0,3,root,0.00181,0.7,SKT_09,Fe,1.357710281,1.358,1.336121158,6327.329872,11.45246707
37,00,1,1,shoot,0.0067,0.7,SKT_10,Fe,0.055182942,0.055,0.033593819,42.97716716,0.28794702
38,00,1,1,shoot,0.00494,0.7,SKT_11,Fe,0.027077949,0.027,0.005488826,9.523700405,0.04704708
39,00,1,1,root,4.50E-04,0.9,SKT_12,Fe,0.278125616,0.278,0.256536493,3800.540637,1.710243287
40,00,1,2,shoot,0.02266,0.7,SKT_13,Fe,0.075399874,0.075,0.053810751,20.35458996,0.461235009
41,00,1,2,shoot,0.0201,0.7,SKT_14,Fe,0.068902461,0.069,0.047313338,20.17626354,0.405542897
42,00,1,2,root,0.00206,0.7,SKT_15,Fe,0.974981617,0.975,0.953392494,3966.95906,8.171935663
43,00,1,3,shoot,0.05449,0.7,SKT_16,Fe,0.178712712,0.179,0.157123589,24.71597761,1.34677362
44,00,1,3,shoot,0.03535,0.7,SKT_17,Fe,0.137595729,0.138,0.116006606,28.1284961,0.994342337
45,00,1,3,root,0.00493,0.7,SKT_18,Fe,3.417441045,3.417,3.395851922,5904.118091,29.10730219
