Cap#,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,Zn,0.04180055,0.042
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,Zn,0.01225612,0.012
30,0,0,0,1,root,0,0.00044,0.9,SKT_03,Zn,0.028712138,0.029
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,Zn,0.561377984,0.561
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,Zn,0.052725938,0.053
33,0,0,0,2,root,0.075,0.00066,0.9,SKT_06,Zn,0.05208919,0.052
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,Zn,0.175775612,0.176
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,Zn,0.120849231,0.121
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,Zn,0.067766654,0.068
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,Zn,0.05156052,0.052
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,Zn,0.029705494,0.03
39,0,0,1,1,root,0.015,0.00045,0.9,SKT_12,Zn,0.043587518,0.044
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,Zn,0.309277139,0.309
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,Zn,0.179559674,0.18
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,Zn,0.185150055,0.185
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,Zn,0.202993433,0.203
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,Zn,0.239360607,0.239
45,0,0,1,3,root,0.122,0.00493,0.7,SKT_18,Zn,0.132283253,0.132
46,0,0,2,1,old leaf,0.065,0.00734,0.7,SKT_19,Zn,0.025155481,0.025
47,0,0,2,1,young leaf,0.066,0.00558,0.7,SKT_20,Zn,0.003111779,0.003
48,0,0,2,1,root,0.01,0.00069,0.9,SKT_21,Zn,0.020094985,0.02
49,0,0,2,2,old leaf,0.266,0.03089,0.7,SKT_22,Zn,0.221958924,0.222
50,0,0,2,2,young leaf,0.129,0.0157,0.7,SKT_23,Zn,0.134088147,0.134
51,0,0,2,2,root,0.087,0.00293,0.7,SKT_24,Zn,0.343346133,0.343
52,0,0,2,3,old leaf,0.417,0.05331,0.7,SKT_25,Zn,0.211151752,0.211
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,Zn,0.151766192,0.152
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,Zn,0.236910126,0.237
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,Zn,0.185104039,0.185
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,Zn,0.089897843,0.09
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,Zn,0.113186052,0.113
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,Zn,1.026618695,1.027
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,Zn,0.285897197,0.286
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,Zn,0.067854357,0.068
88,1,1,0,3,old leaf,0.123,0.01696,0.7,SKT_34,Zn,0.310850812,0.311
89,1,1,0,3,young leaf,0.117,0.02156,0.7,SKT_35,Zn,0.209538196,0.21
90,1,1,0,3,root,0.333,0.00338,0.7,SKT_36,Zn,0.122863096,0.123
91,1,1,1,1,old leaf,0.224,0.02091,0.7,SKT_37,Zn,0.16833993,0.168
92,1,1,1,1,young leaf,0.084,0.00779,0.7,SKT_38,Zn,0.068211236,0.068
93,1,1,1,1,root,0.232,0.0019,0.7,SKT_39,Zn,0.060136925,0.06
94,1,1,1,2,old leaf,0.539,0.08039,0.7,SKT_40,Zn,0.746203278,0.746
95,1,1,1,2,young leaf,0.147,0.02439,0.7,SKT_41,Zn,0.210832204,0.211
96,1,1,1,2,root,0.212,0.00086,0.9,SKT_42,Zn,0.070339485,0.07
97,1,1,1,3,old leaf,0.134,0.02143,0.7,SKT_43,Zn,0.461912314,0.462
98,1,1,1,3,young leaf,0.06,0.01283,0.7,SKT_44,Zn,0.125057976,0.125
99,1,1,1,3,root,0.425,0.00403,0.7,SKT_45,Zn,0.183035145,0.183
100,1,1,2,1,old leaf,,0.01067,0.7,SKT_46,Zn,0.154657992,0.155
101,1,1,2,1,young leaf,,0.0064,0.7,SKT_47,Zn,0.094035243,0.094
102,1,1,2,1,root,,0.00558,0.7,SKT_48,Zn,0.171062481,0.171
103,1,1,2,2,old leaf,,0.08275,0.7,SKT_49,Zn,0.64337009,0.643
104,1,1,2,2,young leaf,,0.02628,0.7,SKT_50,Zn,0.286175487,0.286
105,1,1,2,2,root,,0.01388,0.7,SKT_51,Zn,0.401085325,0.401
106,1,1,2,3,old leaf,,0.02069,0.7,SKT_52,Zn,0.354944906,0.355
107,1,1,2,3,young leaf,,0.01375,0.7,SKT_53,Zn,0.179492632,0.179
108,1,1,2,3,root,,0.00681,0.7,SKT_54,Zn,0.104535138,0.105